Peak_ID,Library\ID,FF10BB02B01,FF10BB02B02,FF10BB02B03,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24B01,FF10BB24B02,FF10BB24B03,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48B01,FF10BB48B02,FF10BB48B03,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02B01,PA10BB02B02,PA10BB02B03,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24B01,PA10BB24B02,PA10BB24B03,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48B01,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
peak_023,"3-Hexen-1-ol, (E)-    1",28553,9902,0,3685705,4261079,3961594,4623661,5787763,5505557,5033003,90484,15112,88292,3604851,4103229,3775680,4271877,5174246,4545981,4694071,92767,92641,5075,3230531,3409104,3351888,3996102,4479314,4991571,4349559,987,8216,100804,3787419,4760118,4689314,4695998,4594622,5222410,4496642,102323,12217,87178,3360523,4360470,3776871,4004930,4023844,4483823,3598742,7737,3237155,3502136,3497517,3467307,3254614,3936569,3238833
peak_024,"2-Butenal, 2-methyl-",645,0,366,150251,855,141582,178669,210070,179889,205789,358,623,216,82865,164369,110270,150513,131894,167390,172310,247,0,0,143010,125402,140403,132126,87762,164484,127858,887,0,270,161164,167926,187203,137264,143588,177875,142262,399,367,0,142482,159320,158188,107067,117487,148046,107241,523,132683,130438,144316,113427,87380,116294,105999
peak_025,"1-Propanol, 2-methyl-",194,0,2274,1437382,1148,1423897,0,2028129,1880524,1912224,230,316,0,1588184,912832,1618540,1827840,1836091,1929089,1854395,455,0,544,1423257,1700523,1565772,1731439,1636682,1895567,1801381,815,830,1959,1410662,1098721,1644239,1946636,1913667,0,2092191,266,269,1327,1344276,1729830,1768877,0,1722122,1984320,1163976,0,835050,1829875,1649081,1799210,1969741,1952174,930277
peak_026,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",0,0,0,1683256,56912,0,0,2388705,2463076,1910680,0,0,0,430128,555927,553816,433572,539904,366718,545677,160,0,0,173045,240022,241139,183448,172166,224431,191121,462,0,0,1345090,2258582,2343396,1705715,2060169,2321310,1406304,174,0,0,314537,502863,382485,0,345340,443988,370144,0,138633,176365,171929,138866,100226,209258,161987
peak_027,"Butanenitrile, 3-methyl-",236,25,180,42,50,844,595,1830,679,1197,364,272,295,1072,1083,1087,643,204,363,1208,129,57,225,1886,667,1947,253,852,743,242,67,23,67,97,777,219,1216,609,1868,834,229,643,277,777,1369,531,1267,1976,1155,1231,381,1493,194,576,54,876,184,1786
peak_028,"2-Pentene, 4,4-dimethyl-",310,167,0,30102,150,30677,39870,47166,47009,45456,464,936,418,30442,35796,17022,29569,38380,36682,34109,727,161,221,27185,29542,29747,27794,29222,27842,30473,0,324,962,29216,36129,35889,35292,39459,46885,41888,207,1648,1253,15994,26827,27515,33221,34081,35656,28233,42,20331,21948,27343,25213,24890,30752,28421
peak_029,1-Butanol,0,0,0,236073,0,231470,363724,545231,432386,428977,0,1474,0,260855,253447,310900,661869,724102,536918,561466,3237,952,0,256636,296841,302245,794917,907771,777487,663654,0,0,0,294356,304585,304227,681251,639682,529379,627790,974,0,0,313101,313381,334325,0,1364135,1130912,1239175,306,289515,308759,323636,1326179,1269004,1267471,1205772
peak_030,"Cyclopentasiloxane, decamethyl-",1621145,1130343,15506,295769,0,230549,194963,199647,203801,384088,536560,427914,273600,419150,630966,444294,286937,234005,319362,288777,627587,449665,95688,991794,542467,493704,288496,329490,365102,234579,83584,324611,1633124,414117,212254,209730,311818,232129,185983,238050,307758,0,202452,219399,173808,271386,205021,192633,169042,274313,428689,188693,284248,270578,222691,274723,274067,247433
peak_031,"2-Butenoic acid, 3-methyl-, methyl ester",926,769,250,104706,241,43260,134734,170414,166098,168799,137,122,190,52872,46253,70448,54562,78984,71631,70891,280,0,0,27685,29964,30289,27793,34443,35152,33910,519,0,0,106297,141045,156255,130410,146221,160471,119094,801,482,248,51399,62586,59707,60168,58901,73932,52716,186,25469,25835,29416,25749,23189,35749,27700
peak_032,2-Heptanone,1977,3587,616,26848,0,31517,29386,39245,41588,44046,304,1784,1925,14481,14897,20163,33702,64958,42272,51875,0,295,108,12409,7440,10583,40137,59770,47096,51355,216,1784,1670,25023,30614,38955,39391,43326,43716,36131,918,33,1005,11535,14852,14761,8225,15666,25398,17388,260,6194,11055,9101,8238,11893,11511,12605
peak_033,"1-Butanol, 3-methyl-",1456,3507,178,5382474,0,4673163,7531782,9892330,9034880,9183381,3756,4273,7067,5433724,6281174,5145772,11275655,11316347,11112356,10988136,680,6470,740,5217548,5640221,5155465,11847598,11684296,13733921,11787905,297,951,3699,6041390,6675593,6381812,17620635,18145528,14713525,14918674,7991,10102,5628,5801852,6999736,6573503,17105411,16727781,16203567,16100146,5400,5763007,6630113,6359400,16111077,19108227,16455763,15503952
