Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_096,3150823,4678585,0,4874095,4702406,5078594,5101023,4751869,0,13847078,0,11167232,0,14374063,14227508,13378052,0,3104679,0,2568876,2752754,3188980,2770217,2849514
Peak_097,0,8770387,0,9244592,9304085,10406755,8846123,11430141,0,10369944,0,11926224,15972201,12850043,11358815,11161448,0,1588102,0,0,0,0,1199221,0
Peak_098,0,7202873,0,7637011,7595567,8750508,9703366,9878852,0,6853075,0,0,6928182,7420969,6374799,6570551,0,3181733,0,2396925,2618426,3107319,2672853,2701144
Peak_099,11897471,197662212,0,174465279,181546018,201006783,206709600,200250340,0,10500765,0,10344239,12375569,13038771,11338338,11641972,809213,206377021,614932,167053113,170573454,181619810,182054736,178000878
Peak_100,0,4339858,0,4945396,4686460,5452475,5401923,5179246,0,196354863,0,79340482,201109406,216481854,171084538,184891282,0,5280344,0,3875481,4313547,4607515,4713435,4355136
Peak_101,0,4139823,0,4279493,4855555,5117981,5259478,5139181,0,26407893,0,8889239,28227199,25712007,22849801,23315450,0,4510118,0,3104607,3904918,4411950,3766860,3917569
Peak_102,0,2708811,0,3717992,3439397,3907125,4311818,4557283,0,38998109,0,13668246,41289429,31419279,29377027,37226430,1655498,7979461,1349837,9243983,10277900,10762858,10944345,11051466
Peak_103,0,18091564,0,9147355,9883942,12443182,13901063,12943123,0,2054129,0,0,0,0,0,0,993577,3756984,0,0,0,0,0,0
Peak_104,3466135,0,0,9139090,8859493,9241326,10095231,10448906,0,77317792,0,34916657,89891717,117252101,73192432,89684562,0,0,0,0,0,1008981,0,0
Peak_105,0,188754861,0,176051374,167820071,191614064,193381409,203465666,1167115,0,0,0,0,0,0,0,0,211951336,0,166879829,171956743,182268202,181638705,174675127
Peak_106,0,0,0,0,7995714,10016888,10766636,11997440,1246868,0,0,0,0,0,0,0,0,7077949,0,5278258,5880123,7286932,6204244,6363069
Peak_107,0,13343587,0,14232940,14865473,16277095,17559429,17837829,276813,18296132,0,4178228,16231530,19159723,16150169,14623620,27687955,478341406,26148118,402525995,414750877,435760148,438774936,429060822
Peak_108,83377259,417201170,25522828,358008197,376078294,408174638,417569553,398651510,0,18941263,0,4743163,19842070,21821061,19044317,16775869,0,780321,0,0,0,0,1334828,0
Peak_109,0,81975044,0,78197159,79243480,89880419,94879952,99314801,0,1544626,0,0,1658387,1541642,1379587,1522497,0,76110345,0,58931041,63018560,67911144,66333089,63527931
Peak_110,0,8637951,0,8727712,9380555,9790021,11139524,11692885,0,1363443,0,0,0,0,0,0,0,3963237,0,1666558,2215470,2956166,2094487,2765612
Peak_111,0,4693545,0,6953573,6662608,7917422,7929468,7906906,0,1900240,0,0,3706220,2576120,2129178,2466851,0,11145152,0,3756590,3401878,4229373,3285642,3536999
Peak_112,0,8214551,0,6428137,6461623,7348605,7669635,8480769,0,949035,0,0,1617336,1640596,4118382,1393714,0,20348259,0,2585453,3515941,11674898,4882926,8262176
Peak_113,0,6107345,0,6935004,9067265,9273827,13483557,21849180,0,4634299,0,1718965,4892558,4623299,64872898,4456072,0,5859593,0,0,0,0,0,0
Peak_114,3423452,2244266,0,4634967,4490063,4479238,3178462,2923864,0,72293541,0,29037293,81985828,72412641,0,69991334,0,5197038,0,0,0,0,15824125,0
Peak_115,3205323,13869714,0,13252904,13473748,14267944,15034183,13364537,0,2552625,0,757189,2145482,2739521,2425302,2064490,0,6976254,0,0,0,13117855,0,5800012
Peak_116,10025463,18509329,2254298,12539282,13019439,13356101,16371073,15280753,0,0,0,0,1378145,0,0,0,0,29109115,0,23538082,25610239,25559235,27504358,25332281
