"Path","File","Date Acquired","Sample","Misc"
"C:\MassHunter\GCMS\1\data\JTB-E02\BACandSTRAW\","JTB-E02-208-24.D","14 Mar 2019  12:40    ","CTRL02   E-2"," "
"PBM Apex"
"Thu May 09 15:59:45 2019"
"PK","RT","Area Pct","Library/ID","Ref","CAS","Qual"
107, 20.0661, 0.0375,"Acridine, 9-methyl-", 58761,"000611-64-3",38
108, 20.3848, 0.0205,"Benzaldehyde",  5151,"000100-52-7",76
109, 20.6337, 0.0227,"Propenone, 1-(4-nitrophenyl)-3-phenylamino-",128245,"1000302-96-9",53
110, 20.8027, 0.0096,"Ethyl 4-hydroxymandelate, 2TMS derivative",196670,"1000071-53-3",59
111, 21.0558, 0.0029,"Propanamide, 2-hydroxy-",  2200,"002043-43-8",59
112, 21.2745, 0.0683,"Linalool", 27447,"000078-70-6",96
113, 21.6317, 0.0074,"1-Octanol", 13944,"000111-87-5",64
114, 21.9711, 0.0040,"Dibenz[a,c]cycloheptan-9-amine, 2,3,4-trimethoxy-N-acetyl-",198199,"1000126-66-0",43
115, 22.1650, 0.0063,"Silane, trimethyl-[[(17.alpha.)-19-norpregn-4-en-20-yn-17-yl]oxy]-",210759,"056771-62-1",37
116, 22.5918, 0.1009,"d-Proline, N-ethoxycabonyl-, undecyl ester",198100,"1000320-84-2",53
117, 23.1293, 0.0016,"2-(Oxan-3-yl)ethanamine", 13236,"1000411-07-5",38
118, 23.4414, 0.0267,"2,3,6-Tri-O-methyl-d-galactopyranose", 86159,"001136-27-2",43
119, 23.6426, 0.0046,"Ethanethioamide, N,N-dimethyl-",  4669,"000631-67-4",47
120, 24.0848, 0.0079,"Pentanoic acid",  4317,"000109-52-4",46
121, 24.1776, 0.0219,"Acetophenone",  9544,"000098-86-2",60
122, 24.2842, 0.6618,"Silanediol, dimethyl-",  2426,"001066-42-8",49
123, 24.5480, 0.0101,"Oxirane, (butoxymethyl)-", 13740,"002426-08-6", 9
124, 24.6888, 0.0833,"Benzoic acid, ethyl ester", 25146,"000093-89-0",90
125, 24.7621, 0.0208,"(Z)-(Z)-Hex-3-en-1-yl 2-methylbut-2-enoate", 49416,"084060-80-0",64
126, 25.6538, 0.0081,"L-.alpha.-Terpineol", 27531,"010482-56-1",46
127, 25.9140, 0.0036,"Germacrene D", 68505,"023986-74-5",70
128, 26.3756, 0.0161,".alpha.-Muurolene", 68582,"010208-80-7",95
129, 26.4413, 0.0263,"Acetic acid, phenylmethyl ester", 25190,"000140-11-4",97
130, 26.6939, 0.0048,"Naphthalene", 12197,"000091-20-3",90
131, 27.0089, 0.0135,".alpha.-Farnesene", 68579,"000502-61-4",68
132, 27.4762, 0.1505,"Oxime-, methoxy-phenyl-_", 25568,"1000222-86-6",83
133, 27.6933, 0.0304,"Methyl salicylate", 26607,"000119-36-8",95
134, 28.6581, 0.0043,"Chloroacetylamine, N-[2-n-octyl]-", 69408,"023602-04-2",43
135, 28.7837, 0.0452,"Tris(tert-butyldimethylsilyloxy)arsane",260810,"1000366-57-5",64
136, 30.3714, 0.0068,"Cyclotetrasiloxane, octamethyl-",155950,"000556-67-2",64
