Peak_ID,Compound Method,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_057,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",693,311,0,3897,5605,6327,174951,247313,262630,254317,229,0,0,1412,939,495,15099,54525,68897,78487,0,0,0,1135,365,545,6185,14755,35894,37726
peak_058,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,337,192,516,124298,126316,146684,184796,138923,229219,221748,204,1106,576,142104,158576,147459,271277,194403,258004,251137,240,227,986,136263,140819,135380,372093,419065,419591,307009
peak_059,"Pyrazine, 2-ethyl-3,5-dimethyl-",0,0,0,158942,157268,0,169628,228549,229331,220275,55,0,0,0,161291,0,166632,193243,179995,190632,0,0,232,0,0,0,150108,166709,193137,188644
peak_060,1-Octen-3-ol,1976,0,121,23113,11446,32908,34770,43079,49739,42964,0,265,1237,15870,16632,19640,22589,31296,26201,29850,984,152,123,14358,17517,13513,17350,19082,25342,19071
peak_061,Furfural,12534,16421,557,1411725,1280151,1647070,1469787,1685341,1744778,1624465,0,57114,42958,1876654,2311001,2092587,651210,307909,1028592,1174442,42257,46144,3061,2387678,2157354,2141248,484464,237362,833174,890536
peak_062,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,0,341,555,30942,10253,46776,54295,64951,60479,52973,716,370,391,37669,39656,42555,79608,88541,63420,73951,1210,665,293,33918,45915,41554,94506,108982,115564,84065
peak_063,Acetic acid?,0,547,276,406,1587,177,370,1817,156,210,38,0,628,9063,4480,0,1340,317,778,8652,0,221,1249,0,7873,39990,7144,12866,4321,0
peak_064,2-Ethyl-1-hexanol,7898,8778,732,28962,37073,46887,39323,51854,52536,45402,4268,2665,4471,30984,39686,34349,35887,46469,41519,41319,3542,328,0,45074,26469,26744,39339,41110,45102,37306
peak_065,"Ethanone, 1-(2-furanyl)-",787,868,328,50060,66350,48266,77026,100303,98908,90113,360,1573,0,76992,61197,97161,83876,99528,84678,84365,5473,3273,672,88744,85455,78246,86551,78221,88664,82288
peak_066,Dill ether,224,0,0,78737,69197,104807,111716,138817,132406,126262,0,140,914,27010,37521,30047,31432,44694,39697,44103,0,0,0,17533,19427,20233,11149,31420,30485,25921
peak_067,Benzaldehyde,246246,234392,2258,18752198,20165301,24229413,19640527,17232287,17737976,17250611,1054197,0,0,23386625,24107861,24222892,6676090,3463072,9415697,10955988,0,0,0,22377730,21032568,21960307,4123724,2025821,6034004,6516111
peak_068,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,994636,790175,4406,292482,262779,438565,210664,204085,310090,389270,293066,348839,283757,330390,309936,369881,256133,241174,315865,283516,324674,325400,53056,699380,322949,307458,263672,279149,340597,257638
peak_069,Linalool,0,407,229,106317,150315,134828,164407,173253,162510,127907,1965,2266,1034,70816,71253,58401,53564,86263,66314,75719,146,334,296,39086,47569,37572,44114,54400,58461,55832
peak_070,1-Octanol,747,1668,531,31002,30594,39715,59485,80718,67823,60911,2676,1869,1101,16461,17671,20170,30298,48435,33508,34926,726,3942,1957,12968,11737,9206,23941,31566,34648,26022
peak_071,"Phosphonoacetic Acid, 3TMS derivative",112566,88468,1668,23061,25605,25526,14514,18339,23202,31011,23507,29255,28280,19354,19588,24197,15094,19738,20494,19292,35371,27647,5689,34336,23386,24592,14653,17226,19211,18322
peak_072,Benzonitrile,5738,7033,374,109665,114756,160842,162237,158979,161511,143189,11865,0,13186,117152,146954,132257,85202,107594,104745,120662,12387,17983,0,109717,94361,101483,82519,72438,83374,77925
peak_073,Terpinen-4-ol,0,0,0,22211,26000,29249,31784,29964,34837,30909,305,343,445,21025,21255,7832,13833,21755,16090,20613,596,368,893,12636,11162,11399,15148,14116,16703,16447
