Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_056,"Benzene, 1,2,4-trimethyl-",7199,6776,0,30566,0,15069,34074,46229,48053,37007,490,928,112,3651,2805,4621,4932,8908,11789,11599,1966,1639,303,8067,3370,6372,5808,3488,6688,5003
peak_057,1-Hexanol,7762,5721,160,3126010,2942067,3419546,3934504,4755361,4568675,4241593,24840,32735,25181,3040554,3565693,1992699,3544222,4365198,3790506,3859451,17709,28313,2504,2812968,2945139,1765819,3336109,3605700,4159736,3515029
peak_058,Dimethyl trisulfide,0,0,0,169352,0,55445,382728,496178,108579,277804,0,0,221,26486,9769,24188,27028,21365,66439,100810,0,0,332,3978,3068,5962,5420,6974,32602,13284
peak_059,"3-Hexen-1-ol, (E)-",865,363,339,120726,124197,134277,185789,231547,218970,202565,368,0,1642,136278,163837,152704,266513,320407,250275,231770,376,1584,1645,138885,140535,140519,363290,369374,371457,281688
peak_060,2-Nonanone,681,888,152,9511,7668,10163,13718,19871,9729,13308,534,808,334,564,2041,2095,25496,40552,28882,29363,48,169,477,90,89,233,20634,25029,22031,30545
peak_061,"Pyrazine, 2-ethyl-6-methyl-",488,718,0,17370,4484,32427,32176,34900,31227,33598,377,755,949,27855,30700,21850,21066,36259,32030,26835,2055,2008,43,28600,27804,23285,23886,23635,29747,24189
peak_062,Isophorone,431,698,0,24211,0,37090,36650,39689,42023,25253,478,406,293,14479,16728,7033,12703,17222,14937,15378,51,1028,235,7969,5554,9250,1185,8211,6068,9002
peak_063,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",848,2807,0,37271,51620,70107,69444,53388,77595,47717,490,864,0,60535,73283,36132,58720,72068,33350,46429,679,101,146,37345,62959,62570,60650,64770,78494,62677
peak_064,"2-Hexen-1-ol, (E)-",0,876,548,549985,581394,626254,737915,895312,894489,815374,3036,0,1241,360844,711191,642504,699424,860870,747566,746098,3089,366,209,588089,361631,587709,679921,723441,842544,723485
peak_065,"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",693,311,0,5511,6279,6996,191332,258475,276278,264435,229,0,0,1412,1179,495,16798,32605,40940,82346,0,0,0,1135,365,545,6956,8266,41186,38692
peak_066,"Benzene, 1-methyl-4-(1-methylethenyl)-",5967,0,0,15934,10340,19213,17125,19576,22265,25043,313,89,0,10688,12096,7521,15005,10999,5949,14628,766,0,2036,934,10385,1337,5025,13047,5756,4451
peak_067,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,371,63,516,113637,140837,150693,189294,166388,224764,213402,270,1106,576,138423,164680,82467,256427,225537,221520,246821,272,439,205,130311,146067,138094,330253,388946,408970,282088
peak_068,"Pyrazine, 2-ethyl-3,5-dimethyl-",0,550,0,154604,160171,198295,207556,227863,234541,230934,1822,0,0,183543,193377,202077,173543,182615,186223,193755,1625,0,214,171000,175225,167500,150038,164304,205002,177413
peak_069,"Pyrazine, 3-ethyl-2,5-dimethyl-",0,803,0,154604,160171,198295,207556,227863,234541,230934,1822,0,0,183543,193377,202077,173543,182615,186223,193755,0,0,183,171000,175225,167500,150038,164304,205002,177413
peak_070,1-Octen-3-ol,3690,908,1216,24628,29012,37391,47294,38149,57492,49517,122,358,3449,20555,26693,25499,25242,38496,29525,24364,863,0,68,14654,16294,14537,21168,23150,32235,25040
peak_071,Furfural,12534,16421,557,1411725,1280151,1647070,1469787,1685341,1744778,1624465,0,57114,42958,1876654,2311001,2092587,651210,307909,1028592,1174442,42257,46144,3061,2387678,2157354,2141248,484464,237362,833174,890536
peak_072,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,208,341,434,38296,25827,46564,66186,69748,73898,66012,716,151,427,43884,54121,24057,93533,114538,73936,84129,1210,335,535,25637,44859,42290,81117,140539,126504,87894
peak_073,"4-[p-Fluorophenyl]-2H-1,3[3H]-oxazine-2,6-dione",271,0,355,9811,5202,6165,6294,8266,10763,12766,0,348,248,1572,774,1492,752,1256,901,2923,297,262,265,1683,460,2098,393,233,2708,2026
peak_074,"Benzene, 1,2,3,4-tetramethyl-",694,1837,466,26203,27568,41964,36788,41208,39260,30732,2440,0,1135,1055,4495,3013,1430,6222,2591,4437,1558,587,523,366,1775,345,1503,1867,1283,520
peak_075,2-Ethyl-1-hexanol,8475,19768,101,39601,35936,65381,58849,72932,81313,70582,4762,3880,5063,37765,57569,47841,50023,62651,50723,56252,1500,1594,0,61187,25078,41393,58028,55494,64340,55309
peak_076,"2,4,6-Trimethyl-1,3-phenylenediamine",0,455,0,11864,6649,19206,17160,18507,15617,17220,610,0,249,13401,17456,16286,10762,12081,10396,15951,552,0,0,9729,12139,10046,6334,7893,8872,1578
