Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
Methyl salicylate,27.691,6814,27.700,7889,27.691,33840,27.691,182513,27.691,25765,27.691,19676,27.691,23504,27.691,6232,27.691,11670,27.691,334595,27.691,1784518,27.691,322285,27.699,70658,27.691,378040
"4-Heptanone, 3-ethyl-",28.106,130,,,28.106,23361,,,28.105,321,28.130,313,28.114,7294,28.138,1435,28.097,328,28.130,4775,,,28.138,220,28.097,99,28.122,332
"Benzoic acid, heptyl ester",28.122,200,,,28.146,28464,28.162,1948,28.154,7441,28.154,1046,28.146,8985,28.179,1141,28.130,233,28.154,24473,28.146,15466,28.154,21723,28.154,820,28.162,19755
"Cyclotetrasiloxane, octamethyl-",5.182,4007901,5.182,2030271,5.182,1415970,5.182,1375169,5.182,1171604,5.182,1162114,5.182,1236493,5.182,4309021,5.182,1494399,5.182,2060060,5.182,1408344,5.182,1363365,5.182,1284993,5.182,1453087
"Hexanoic acid, anhydride",,,28.609,127,28.593,36887,28.585,2952,28.593,1791,28.593,1269,28.593,6521,28.601,357,28.577,489,28.601,2540,28.585,465,28.601,575,28.593,392,28.568,2021
"Butanoic acid, methyl ester",5.231,20466,5.231,10424056,5.231,29666475,5.231,7586476,5.231,20249308,5.231,19957732,5.231,23801162,5.231,57128,5.231,14198437,5.231,11251858,5.231,4305457,5.231,6997968,5.231,15711014,5.231,8465550
"Butanoic acid, 2-methyl-, methyl ester",5.678,4284,5.678,1383711,5.678,21097213,5.678,3427715,5.677,20359855,5.677,7169031,5.678,14812633,5.678,14090,5.678,11371085,5.678,20610999,5.678,3451826,5.678,21377673,5.678,11763639,5.677,19424312
"Cyclotrisiloxane, hexamethyl-",28.772,1230539,28.780,419203,28.772,208652,28.772,172541,28.763,49463,28.788,155906,28.772,156385,28.764,1241969,28.788,219505,28.780,214594,28.796,156721,28.772,180384,28.788,122762,28.772,57379
Hexanoic acid,30.136,568,30.145,1835,30.153,8979,30.161,9723,30.144,2485,30.136,314,30.193,9517,30.153,1620,30.177,865,,,,,30.161,24709,,,30.144,20683
Isobutyl acetate,5.710,30817,5.710,791157,5.710,30053662,5.710,14296566,5.710,26326269,5.710,1977230,5.710,18263891,5.710,137459,5.710,1037753,5.710,29463208,5.710,27743676,5.710,27222709,5.710,3068369,5.710,30913722
