,,,,JTB-E02-192-12,JTB-E02-192-06,,JTB-E02-192-13,,JTB-E02-192-14,,JTB-E02-192-15,,JTB-E02-192-16,,JTB-E02-192-17,,JTB-E02-192-18
,,,,2H_CTRL01,BAC-01 BLANK,,2H_CTRL02,,2H_CTRL03,,2H_REP01,,2H_REP02,,2H_REP03,,2H_REP04
Header=,Qual,Library/ID,RT,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,,,
27=,62,"Butanoic acid, 2-methyl-, methyl ester (CAS) $$ Methyl 2-methylbutyrate $$ Methyl ester of 2-methyl-butanoic acid $$ Methyl 2-methylbutanoate $$ Methyl .alpha.-methylbutyrate $$ Methyl .alpha.-methylbutanoate $$ 2-Methylbutanoic acid methyl ester $$ Butyr",5.4102,32651784,14.871,19597143,5.415,27030406,5.585,120157720,5.349,21585076,5.355,20029931,,,
28=,47,"Acetic acid, 2-methylpropyl ester (CAS) $$ Isobutyl acetate $$ 2-Methylpropyl acetate $$ Acetic acid isobutyl ester $$ Acetic acid, isobutyl ester $$ .beta.-Methylpropyl ethanoate $$ 2-Methyl-1-propyl acetate $$ Isobutyl acetate fcc $$ Acetate d'isobutyle",5.4669,43115980,15.046,7692799,5.473,37629690,5.713,33097461,5.411,28015776,5.416,26487195,,,
29=,81,"Butanoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl isovalerate $$ Methyl isopentanoate $$ Methyl iso-valerate $$ Methyl 3-methylbutyrate $$ Methyl 3-methylbutanoate $$ Isovaleric acid, methyl ester $$ ISOVALERIC ACID-METHYL ESTER $$ 3-Methylbutanoic a",5.5842,170154797,16.058,12986569,5.59,128181120,5.932,15730824,5.468,37919609,5.472,36154472,,,
30=,32,"Butanoic acid, 4-methoxy-, methyl ester (CAS) $$ Methyl 4-methoxybutyrate $$ METHYL ESTER OF 4-METHOXY-BUTANOIC ACID $$ Butyric acid, 4-methoxy-, methyl ester $$ Methyl 4-methoxybutanoate",5.7144,55534820,17.403,4120062,5.715,49906241,6.003,48934406,5.585,124990030,5.59,126303718,,,
31=,89,ETHYL BUTANOATE $$ ETHYL BUTYRATE,5.9285,19761891,18.132,39603577,5.935,15914856,6.158,78979956,5.713,39056226,5.718,47333204,,,
32=,64,2-METHYL-3-BUTEN-2-OL,6.003,57210569,19.13,3611352,6.005,48140585,6.273,38963635,5.931,19016104,5.936,16346229,,,
33=,23,"Ethanol, 2-(2-methoxyethoxy)- (CAS) $$ Dowanol DM $$ 2-(2-Methoxyethoxy)ethanol $$ Diethylene glycol methyl ether $$ Methyl digol $$ Poly-Solv DM $$ Methyl Dioxitol $$ Methyl Carbitol $$ Diglycol monomethyl ether $$ Diethylene glycol monomethyl ether $$ E",6.1563,93040325,19.324,16188133,6.162,87728749,6.468,13245176,6.004,57208411,6.005,53147249,,,
34=,64,"Butanoic acid, 2-methyl-, ethyl ester (CAS) $$ Ethyl 2-methylbutyrate $$ Ethyl 2-methylbutanoate $$ Ethyl .alpha.-methylbutyrate $$ Butyric acid, 2-methyl-, ethyl ester $$ 2-Methylbutanoic acid ethyl ester",6.2709,48619955,19.545,22074471,6.277,43398425,6.535,6535305,6.158,85396735,6.162,85704441,,,
35=,53,terpinolene,6.4643,14039981,19.695,100147964,6.472,15602370,6.594,125830219,6.274,42432204,6.277,43962455,,,
36=,93,"Butanoic acid, 3-methyl-, ethyl ester (CAS) $$ Ethyl isovalerate $$ ethyl isopentanoate $$ Ethyl 3-methylbutyrate $$ Ethyl 3-methylbutanoate $$ Isovaleric acid, ethyl ester $$ 3-Methylbutanoic acid ethyl ester $$ (CH3)2CHCH2C(O)OC2H5 $$ Ethyl iso-pentanoa",6.5916,181776133,19.838,3211115,6.599,145506556,6.89,10313030,6.471,13617935,6.469,13454172,,,
37=,45,"Piperazine, 2-methyl- (CAS) $$ 2-Methylpiperazine $$ 2-METHYL PIPERAZINE",6.8818,10225558,19.942,19983185,6.888,10733835,6.994,7378728,6.594,130882666,6.597,132644934,,,
38=,33,"2-Propenoic acid, 1,4-butanediyl ester (CAS) $$ Butylene diacrylate $$ 1,4-Butylene diacrylate $$ Tetramethylene acrylate $$ Tetramethylene diacrylate $$ 1,4-Butanediol diacrylate $$ 1,4-Butylene glycol diacrylate $$ Tetramethylene glycol diacrylate $$ Ac",6.9936,6947583,20.308,93993378,7,7191502,7.103,34140771,6.883,10836587,6.885,9779584,,,
39=,64,cis-2-Methyl-2-vinyl-5-isopropyl-tetrahydrofuran,7.0914,53026221,20.472,33318095,7.097,38445339,7.215,228550497,6.996,8016416,6.997,6884694,,,
40=,90,ISOBUTYL ALCOHOL,7.2255,269694921,21.675,30270485,7.23,259053392,7.373,18090734,7.095,34208931,7.103,34511670,,,
41=,72,"Pulegone $$ Cyclohexanone, 5-methyl-2-(1-methylethylidene)-, (R)- (CAS) $$ (+)-Pulegone $$ (+)-(R)-Pulegone $$ (R)-(+)-Pulegone $$ p-Menth-4(8)-en-3-one, (R)-(+)- $$ d-Pulegone $$ Pulegon $$ PULEGONE (IMPURITY) $$ d-p-Menth-4(8)-en-3-one $$ p-Menth-4(8)-e",7.3577,24882688,21.87,23624354,7.364,24193517,7.598,706486150,7.224,270160537,7.221,252613506,,,
42=,72,"Phenol, 2-nitro- (CAS) $$ o-Nitrophenol $$ 2-Nitrophenol $$ Phenol, o-nitro- $$ o-Hydroxynitrobenzene $$ 2-Hydroxynitrobenzene $$ o-Nitrofenol $$ UN 1663",7.588,1041854608,22.26,6016915,7.593,746849080,7.749,28832302,7.363,25136735,7.373,18351363,,,
43=,49,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl- (CAS) $$ 2,2-DIMETHYL-6-METHYL-6VINYLTETRAHYDROPYRAN $$ LINALOYL OXIDE $$ 2,6,6-Trimethyl-2-vinyltetrahydropyran $$ 2,2,6-Trimethyl-6-vinyltetrahydropyran $$ 2H-Pyran, tetrahydro-2,2,6-trimethyl-6-vinyl- $$ P",7.7527,30977977,22.962,6005230,7.757,15771927,7.832,13477953,7.484,4907722,7.599,717765221,,,
44=,47,METHYL TIGLATE,7.825,18642000,23.809,399145836,7.833,13711161,7.914,44339670,7.591,680490339,7.753,19389011,,,
45=,87,"1-Butanol, 3-methyl-, acetate (CAS) $$ Isoamyl acetate $$ 3-METHYL BUTYL ACETATE $$ ETHANOIC ACID, 3-METHYL BUTANOL ESTER $$ Pear oil $$ Banana oil $$ i-Amyl acetate $$ Isoamyl ethanoate $$ Isopentyl acetate $$ 3-Methylbutyl acetate $$ 3-Methyl-1-butyl ac",7.9068,59519524,24.077,5168338,7.914,48845892,8.171,16287411,7.754,25273448,7.834,12294081,,,
46=,87,"3-Penten-2-one, 4-methyl- (CAS) $$ Mesityl oxide $$ 2-METHYLPENT-2-EN-4-ONE $$ Isopropylideneacetone $$ Methyl isobutenyl ketone $$ Acetone, isopropylidene- $$ Isobutenyl methyl ketone $$ 4-Methyl-3-penten-2-one $$ Methyl 2-methyl-1-propenyl ketone $$ Met",8.1668,19305089,24.178,12203072,8.173,19150607,8.353,7047082,7.828,16080171,7.916,45034111,,,
47=,93,"Benzene, 1,3-dimethyl- (CAS) $$ m-Xylene $$ m-Xylol $$ 1,3-Xylene $$ 2,4-Xylene $$ m-Dimethylbenzene $$ 1,3-Dimethylbenzene $$ m-Methyltoluene $$ 1,3-Dimethyl-benzene $$ 1,3-DIMETHYLBENZENE(M-XYLENE) $$ 1,3-DIMETHYLBENZENE (M-XYLENE) $$ meta-Xylene $$ UN",8.3428,9327474,24.257,16848977,8.349,9365330,8.547,5833326,7.911,47043700,8.172,17472920,,,
48=,64,1-Butanol (CAS) $$ n-Butanol $$ CCS 203 $$ n-Butyl alcohol $$ Hemostyp $$ n-Butan-1-ol $$ Butyl alcohol $$ Butanol $$ Butyl hydroxide $$ Methylolpropane $$ Propyl carbinol l $$ Propyl carbinol $$ 1-Butyl alcohol $$ Butanol (French $$ Propylcarbinol $$ 1-B,8.5494,5641906,24.439,21019649,8.556,7783521,8.65,3990124,8.169,19916684,8.353,6669846,,,
49=,94,"Cyclohexene, 1,5,5-trimethyl-1-methylene- $$ 3-Methylene-1,5,5-trimethylcyclohexene $$ Cyclohexene, 1,5,5-trimethyl-3-methylene- $$ 1,5,5-Trimethyl-3-methylenecyclohexene",8.6351,5336575,24.553,17494259,8.643,5519685,8.819,23574928,8.348,8773965,8.55,6015331,,,
50=,64,"Cyclopentasiloxane, decamethyl- (CAS) $$ Dimethylsiloxane pentamer $$ DECAMETHYL-CYCLOPENTASILOXANE $$ Decamethylcyclopentasiloxane $$ Dekamethylcyklopentasiloxan $$ Union Carbide 7158 Silicone Fluid $$ Dow Corning 345 $$ NUC Silicone VS 7158 $$ Dow Corni",8.8118,21450212,24.689,7147491,8.819,33974159,8.95,11493783,8.551,7379211,8.649,3096764,,,
51=,9,Codeine-propionyl,8.9519,11190984,25.178,23239021,8.958,14434357,9.008,15964476,8.643,4792203,8.819,23941354,,,
