Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"Butanoic acid, octyl ester",23.297,1837,23.297,3268,23.297,229076,23.297,8678,23.297,14261,23.297,5934,23.297,109625,23.297,3596,23.297,2806,23.297,49267,23.297,8041,23.297,6308,23.297,2819,23.297,16028
.+/-.-Tetrahydro-3-furanmethanol,23.386,1923,23.386,2895,23.386,394626,23.386,19855,23.386,24350,23.386,10494,23.386,138720,23.386,5376,23.386,4114,23.386,100275,23.386,14864,23.386,11030,23.386,4589,23.386,34006
"Butanoic acid, 2-methyl-, octyl ester",23.597,1597,23.597,2333,23.597,46359,23.597,13570,23.597,27319,23.597,5608,23.597,36209,23.597,1802,23.597,2219,23.597,86400,23.597,32813,23.597,33891,23.597,4605,23.597,62592
Butanoic acid,24.085,10341,24.085,7752,24.085,293328,24.085,110329,24.084,37298,24.085,14375,24.085,81308,24.085,15780,24.085,7362,24.085,661538,24.085,529641,24.085,516318,24.085,31063,24.084,899250
"Butanoic acid, 3-methyl-, octyl ester",24.182,27050,24.182,23344,24.182,298112,24.182,156191,24.182,217186,24.182,37259,24.182,84694,24.182,39635,24.182,25973,24.182,671481,24.182,334342,24.182,392087,24.182,59889,24.182,315141
"1-Octen-3-ol, methyl ether",25.019,2074,25.019,2202,25.019,36538,25.019,3993,25.019,4865,25.019,3280,25.019,18674,25.019,2257,25.019,2358,25.019,9666,25.019,4125,25.019,3808,25.019,2344,25.019,5372
"Hexanoic acid, 2-methyl-",25.279,1916,25.279,3780,25.279,211710,25.279,20463,25.279,61544,25.279,13333,25.279,73507,25.279,3388,25.279,6793,25.279,907550,25.279,275232,25.279,991284,25.279,28290,25.279,1051400
"Butanoic acid, 1-methylbutyl ester",25.474,2107,25.474,2771,25.474,46937,25.474,4422,25.474,4898,25.474,3144,25.474,11446,25.474,1717,25.474,1653,25.474,27890,25.474,11588,25.474,6438,25.474,2392,25.474,8952
"2(3H)-Furanone, 5-ethyldihydro-",25.644,5192,25.644,8778,25.644,193833,25.644,38565,25.644,40735,25.644,18090,25.644,91636,25.644,8913,25.644,12333,25.644,273190,25.644,88040,25.644,74197,25.644,17543,25.644,145939
"Butanoic acid, pentyl ester",25.896,2400,25.896,2591,25.896,208544,25.896,8981,25.896,7710,25.896,4397,25.896,30141,25.896,3389,25.896,2541,25.896,76071,25.896,15321,25.896,11600,25.896,3207,25.896,17070
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-",26.392,5481,26.392,25495,26.392,93048,26.392,77547,26.391,159356,26.391,46196,26.392,415703,26.392,28152,26.392,48833,26.391,87541,26.392,83878,26.392,94861,26.392,68298,26.391,249269
"Propanoic acid, 2-methyl-, 1,2,3-propanetriyl ester",27.196,2236,27.196,2104,27.196,41685,27.196,6911,27.196,3899,27.196,3711,27.196,9477,27.196,2468,27.196,1966,27.196,6492,27.196,4128,27.196,3569,27.196,2844,27.196,5326
"4-Heptanone, 3-ethyl-",27.464,10291342,27.464,3377165,27.464,1912785,27.464,1322377,27.464,1238474,27.464,1007677,27.464,1167677,27.464,10169035,27.464,1621027,27.464,2105389,27.464,1182483,27.464,1392218,27.464,869503,27.464,1422117
"Benzoic acid, heptyl ester",28.171,2988,28.171,3018,28.171,33248,28.171,8465,28.170,12966,28.170,4524,28.171,13547,28.171,3819,28.171,2869,28.170,30411,28.170,19876,28.171,28632,28.171,5576,28.170,23803
"Hexanoic acid, anhydride",28.593,182,28.593,1000,28.593,47210,28.593,5837,28.593,3759,28.593,2245,28.593,10336,28.593,1586,28.593,652,28.593,4260,28.593,2607,28.593,1498,28.593,976,28.593,2115
Hexanoic acid,30.169,9957,30.169,7538,30.169,69917,30.169,19494,30.169,11288,30.169,8566,30.169,16486,30.169,9947,30.169,4679,30.169,514199,30.169,262275,30.169,63635,30.169,12623,30.169,116432
"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",30.396,941878,30.396,307472,30.396,184166,30.396,137132,30.396,138287,30.396,122987,30.396,133954,30.396,1186339,30.396,173421,30.396,207233,30.396,144828,30.396,139889,30.396,108602,30.396,154342
4-Methylthiazole,30.933,509,30.933,1393,30.932,18343,30.932,2522,30.932,1930,30.932,881,30.932,3728,30.932,1239,30.932,1049,30.932,3657,30.932,1459,30.932,1590,30.932,757,30.932,1471
"2-Propenoic acid, 3-phenyl-, methyl ester",32.378,8633,32.378,9388,32.378,37572,32.378,11805,32.378,22524,32.378,8478,32.378,17342,32.378,14406,32.378,14366,32.378,59711,32.378,22525,32.378,45197,32.378,10085,32.378,37729
Isopentyl hexanoate,,,18.585,309,18.536,609712,18.537,110627,18.536,65257,18.536,19570,18.536,228806,,,18.553,185,18.536,696580,18.536,392182,18.536,204152,18.528,12915,18.536,481960
