Peak_ID,Compound Method,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_071,"Benzaldehyde, 3-hydroxy-",183853,172372,204184,161362,178174,194653,185015,132233,166122,186532,65158,53354,74781,77477,123242,118758,130395,34991,19928,45690,51615
peak_072,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",224339,300794,285936,333492,370793,363577,303354,296946,334681,273487,252197,318446,279912,306774,284401,286516,230842,252434,287475,337994,228812
peak_073,Terpineol,517294,724171,677692,812562,967146,859852,801364,600332,650111,599564,603958,743852,700255,678649,513413,478981,488455,520680,674453,691739,632216
peak_074,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",56104,69804,75102,400947,459746,419275,377447,55504,58648,60830,603165,749974,567898,557826,47299,51846,45362,634675,780629,776249,643780
peak_075,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",555320,648684,916474,695110,1091039,868150,715079,33638,72276,44939,47162,76760,81113,88525,34073,30031,26387,28089,21080,35144,24192
peak_076,"Oxime-, methoxy-phenyl-_",3058,1176,2310,1139,124,808,1877,0,809,2615,609,496,718,1611,5122,553,1431,84,876,1079,212
peak_077,Methyl salicylate,46368,44271,56124,65294,94852,85794,86549,14676,28751,33058,55759,80717,60371,35497,23000,16288,26418,49534,58703,55324,49474
peak_078,(-)-Myrtenol,2791,1241,1879,18649,25030,22494,19653,1835,1021,1717,34893,42691,25389,29920,2631,1455,1730,38400,44212,47122,38106
peak_079,"Cyclotrisiloxane, hexamethyl-    1",57903,157071,188400,48335,38794,86033,225514,55746,64012,131187,59157,55846,85163,64123,542197,77435,77060,39981,71175,80891,48666
peak_080,Benzyl alcohol,26714,39620,35005,144906,255944,210146,162496,45522,49368,43707,392809,435011,365994,334345,61532,43390,49354,488834,432304,486144,406361
peak_081,"Cyclotetrasiloxane, octamethyl-     1",27447,28213,1358,6961,11098,15369,70759,19210,5071,42412,8306,10436,38444,19336,91828,9140,32902,9981,7634,17484,4741
peak_082,Phenylethyl Alcohol,17885,19691,24567,37165,53377,47548,49128,21338,31047,29561,146511,200856,164449,159041,36413,35385,26544,278705,330916,332150,275533
peak_083,Benzyl nitrile,86279,100288,103220,91692,134777,141779,125848,83409,104383,94051,107626,119538,94813,107674,94399,77031,89985,99422,97310,110454,127666
peak_084,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",101384,50583,66106,36490,64632,71823,79148,75665,62727,85154,60177,54824,67769,70031,72507,88590,88538,55233,62756,94009,51612
peak_085,"p-Mentha-1(7),8(10)-dien-9-ol",2322,2546,2265,6931,12605,6826,12197,4044,3187,2803,16296,15505,16537,16112,3363,2986,3237,19313,18643,22045,18413
peak_086,Phenol,42231,49356,60057,38492,51580,67845,52769,48272,59135,54162,52238,65365,57246,47470,62049,47605,50245,53394,51329,55181,53058
peak_087,p-Cresol,97556,127433,137012,137410,177433,185060,162708,150411,159821,165873,171824,192231,159451,173071,180513,131459,149745,185380,201512,191789,203238
peak_088,3-Allyl-6-methoxyphenol,7204,7490,7015,17632,25317,22484,19656,5779,9572,5385,46482,62028,39604,37878,9276,5480,6141,73364,91660,69160,55862
